# WAVELET 中文翻译文件
# 生成时间: 2026-02-03
# 格式: CSV with UTF-8 BOM
# msgid (原文), msgstr (翻译), comment (备注)

msgid,msgstr,comment
"Volume","音量","Volume旋钮标签"
"Filter","滤波器","Filter旋钮标签"
"Resonance","共振","Resonance旋钮标签"
"Attack","起音","Attack旋钮标签"
"Release","释音","Release旋钮标签"
"Presets","预设","预设区域标题"
"Init","初始化","初始化预设按钮"
"Bass","贝斯","贝斯音色预设"
"Pad","背景垫","背景垫音色预设"
"Lead","主旋律","主旋律音色预设"
"Keys","键盘","键盘音色预设"
"Strings","弦乐","弦乐音色预设"
"Bell","钟声","钟声音色预设"
"Effect","效果","效果音色预设"
"Playing","演奏中","状态：正在播放"
"Stopped","已停止","状态：已停止"
"Recording","录音中","状态：正在录音"
"Theme: Dark","主题：深色","深色主题按钮"
"Theme: Retro","主题：复古","复古主题按钮"
"Theme: Cyber","主题：赛博","赛博主题按钮"
"AI Generate","AI生成","AI生成按钮"
"Randomize","随机化","随机化按钮"
"Save Preset","保存预设","保存当前设置"
"Load Preset","加载预设","加载预设"
"Export","导出","导出音频"
"Import","导入","导入设置"
"MIDI","MIDI","MIDI设置"
"Sample Rate","采样率","音频采样率"
"Buffer Size","缓冲区大小","音频缓冲区大小"
"Latency","延迟","音频延迟"
"CPU Usage","CPU占用","CPU使用率"
"About","关于","关于WAVELET"
"Help","帮助","帮助文档"
"Close","关闭","关闭对话框"
"OK","确定","确认按钮"
"Cancel","取消","取消按钮"
"Error","错误","错误提示"
"Warning","警告","警告提示"
"Success","成功","成功提示"
"Loading...","加载中...","加载提示"
"Saving...","保存中...","保存提示"
