# WAVELET 日本語翻訳ファイル
# 作成日時: 2026-02-03
# 形式: CSV with UTF-8 BOM
# msgid (原文), msgstr (翻訳), comment (備考)

msgid,msgstr,comment
"Volume","音量","Volumeノブラベル"
"Filter","フィルター","Filterノブラベル"
"Resonance","レゾナンス","Resonanceノブラベル"
"Attack","アタック","Attackノブラベル"
"Release","リリース","Releaseノブラベル"
"Presets","プリセット","プリセットセクション"
"Init","初期化","初期化プリセット"
"Bass","ベース","ベースプリセット"
"Pad","パッド","パッドプリセット"
"Lead","リード","リードプリセット"
"Keys","キーボード","キーボードプリセット"
"Strings","ストリングス","ストリングスプリセット"
"Bell","ベル","ベルプリセット"
"Effect","エフェクト","エフェクトプリセット"
"Playing","再生中","ステータス：再生中"
"Stopped","停止中","ステータス：停止中"
"Recording","録音中","ステータス：録音中"
"Theme: Dark","テーマ：ダーク","ダークテーマボタン"
"Theme: Retro","テーマ：レトロ","レトロテーマボタン"
"Theme: Cyber","テーマ：サイバー","サイバーthemeボタン"
"AI Generate","AI生成","AI生成ボタン"
"Randomize","ランダム","ランダムボタン"
"Save Preset","プリセット保存","現在設定保存"
"Load Preset","プリセット読み込み","プリセット読み込み"
"Export","エクスポート","オーディオエクスポート"
"Import","インポート","設定インポート"
"MIDI","MIDI","MIDI設定"
"Sample Rate","サンプリングレート","オーディオサンプルレート"
"Buffer Size","バッファサイズ","オーディオバッファサイズ"
"Latency","レイテンシ","オーディオレイテンシ"
"CPU Usage","CPU使用率","CPU使用率"
"About","バージョン情報","WAVELETについて"
"Help","ヘルプ","ヘルプトキュメント"
"Close","閉じる","ダイアログ閉じる"
"OK","OK","確認ボタン"
"Cancel","キャンセル","キャンセルボタン"
"Error","エラー","エラープロンプト"
"Warning","警告","警告プロンプト"
"Success","成功","成功プロンプト"
"Loading...","読み込み中...","読み込みプロンプト"
"Saving...","保存中...","保存プロンプト"
